movieId	type
tt4878202	Fantasy
tt4878202	Mystery
tt4878202	Short
tt8164202	Adult
tt0049807	Animation
tt0049807	Comedy
tt0049807	Family
tt5838904	Drama
tt5838904	Fantasy
tt5838904	Thriller
tt0786682	\N
tt0610933	Action
tt0610933	Adventure
tt0610933	Animation
tt1458613	Drama
tt7772514	\N
tt7030290	Drama
tt7030290	Short
tt2193755	Comedy
tt4565986	Drama
tt4565986	Short
tt2780746	Documentary
tt0530424	Drama
tt3536556	Talk-Show
tt1663707	Drama
tt6940852	Talk-Show
tt1244445	Action
tt1244445	Adventure
tt1244445	Animation
tt6753254	Animation
tt1598051	Reality-TV
tt0394523	Drama
tt0394523	War
tt0566309	Comedy
tt6105016	Adventure
tt6105016	Biography
tt6105016	Drama
tt5702534	Comedy
tt5702534	News
tt5702534	Talk-Show
tt8979892	Comedy
tt5897392	Drama
tt5897392	Romance
tt3331360	News
tt0667194	\N
tt2808908	Drama
tt8085448	\N
tt1026107	Reality-TV
tt2071140	Comedy
tt2071140	Drama
tt2071140	Musical
tt0064533	Thriller
tt1534008	Action
tt8657296	Music
tt5111874	Documentary
tt4662496	Drama
tt4662496	Short
tt8221224	Comedy
tt8221224	Drama
tt8221224	Romance
tt4792168	Talk-Show
tt2548524	News
tt2548524	Talk-Show
tt7119494	Talk-Show
tt7609524	Documentary
tt7609524	Reality-TV
tt1406184	Music
tt8837252	Animation
tt8837252	Short
tt1165045	Comedy
tt1165045	Drama
tt1165045	Family
tt0166338	Adult
tt8222368	Drama
tt1242279	Talk-Show
tt3918746	Comedy
tt3918746	Short
tt7377472	Biography
tt7377472	History
tt6671070	Adventure
tt6671070	Game-Show
tt6671070	Reality-TV
tt4316150	Animation
tt4316150	Short
tt3974172	Biography
tt3974172	Documentary
tt3974172	Music
tt2206207	News
tt2206207	Talk-Show
tt1190229	Game-Show
tt3364198	Drama
tt3288952	Comedy
tt1660944	Family
tt1660944	Game-Show
tt5429718	Drama
tt5429718	Short
tt2338091	Documentary
tt2338091	Short
