movieId	title	startYear	isAdult	runtimeMinutes	rating	numVotes
tt0869926	Asian Dolls Uncut 11	2001	1	118	0.0	0
tt6687630	Massive Triceps and Huge Thick Back	2010	0	\N	0.0	0
tt0266874	Raa Navghan	1976	0	\N	0.0	0
tt1445901	Episode #2.25	1997	0	\N	0.0	0
tt5738976	December: Berkshires County	2016	0	43	6.8	8
tt4839906	Fairies	2015	0	13	0.0	0
tt3901968	Miedo	2014	0	6	0.0	0
tt6328858	Kansas City 23	1998	0	\N	0.0	0
tt0884906	Eye of the Lens	2001	0	\N	0.0	0
tt0902100	The New Knight	\N	0	\N	0.0	0
tt2378724	One Hit Kill, Soifon, Bankai!	2010	0	23	7.9	43
tt6922326	Future of Honor: The Fraternity vs. Cheeseburger & Will Ferrara	2017	0	\N	0.0	0
tt8091956	Episode #1.99	1983	0	\N	0.0	0
tt1533589	Smacker	2009	0	\N	0.0	0
tt7560406	Uso da! bokuga kizoku ninarunante	1991	0	\N	0.0	0
tt6835908	Episode #1.3	1966	0	\N	0.0	0
tt0457550	7 to 10 Days	2004	0	80	6.7	6
tt5633374	Colòmbia II	2016	0	\N	0.0	0
tt8007388	Episode #1.38	1992	0	\N	0.0	0
tt7184164	Fathom	2018	0	\N	0.0	0
tt0256905	The House in the Country	1969	0	87	4.4	39
tt1173654	Wenn die Russen kommen - Neues russisches Leben in Deutschland	2007	0	\N	0.0	0
tt8999410	Episode #1.179	1993	0	\N	0.0	0
tt1363805	The Murder of John Cousins	2009	0	\N	0.0	0
tt2660406	Twenty Chefs Compete	2013	0	44	7.0	54
tt1585633	Peter	2009	0	16	0.0	0
tt7221624	San Antonio Qualifiers	2017	0	\N	0.0	0
tt3642720	Episode dated 12 June 1957	1957	0	30	0.0	0
tt8142028	Episode #9.36	2002	0	\N	0.0	0
tt8684234	Episode #1.11	1975	0	\N	0.0	0
tt1570814	Episode dated 2 September 2009	2009	0	\N	0.0	0
tt6407764	Dissonanzen	2003	0	\N	0.0	0
tt8809916	Illegal	2018	0	8	0.0	0
tt5638372	207A-Bananium Deficiency	2015	0	\N	0.0	0
tt4790362	Gertrude & a Gala	2015	0	\N	0.0	0
tt1831674	Hubert H Humphrey: The Art of the Possible	2010	0	114	8.0	7
tt7727462	Episode #1.238	2003	0	\N	0.0	0
tt8643690	Episode #2.81	1992	0	\N	0.0	0
tt1240861	Submarines	2007	0	45	8.1	12
tt2342061	Devudu Chesina Manushulu	2012	0	124	3.5	476
tt8755570	The Bunker	2018	0	\N	0.0	0
tt2358826	Foosers	\N	0	\N	0.0	0
tt5486350	A Blank Canvas	2016	0	\N	0.0	0
tt3739360	Po sledam geroya	1936	0	\N	0.0	0
tt3775168	Episode dated 5 May 2006	2006	0	\N	0.0	0
tt9091918	Episode #1.52	2001	0	\N	0.0	0
tt1468883	When the Devil Comes	2017	0	\N	5.8	11
tt5858792	Sticks //Stones	2016	0	10	0.0	0
tt5799958	Episode #1.3	1960	0	\N	0.0	0
tt3800568	Le collier d'étoiles	1908	0	\N	0.0	0
tt4423424	Over de streep	2015	0	\N	8.1	9
tt0272661	Les hôtesses du sexe	1978	1	\N	5.4	39
tt7013360	Episode #2.28	2010	0	\N	0.0	0
tt6906650	Episode #1.13	\N	0	\N	0.0	0
tt0350726	Colo	1983	0	10	0.0	0
tt1660654	Scene della rivoluzione	1909	0	\N	0.0	0
tt3575662	Episode #2.28	2009	0	\N	0.0	0
