tconst	ordering	nconst	category	job	characters
tt0006038	4	nm0393818	actor	\N	"[""Baron Gauntier""]"
tt0006038	9	nm0511603	actor	\N	"[""Phillip""]"
tt0006307	7	nm0454889	writer	play	\N
tt0006373	1	nm0024706	actor	\N	"[""Arsene Lupin""]"
tt0006373	8	nm0478997	actress	\N	\N
tt0006488	4	nm0500256	actress	\N	"[""Maria Baker""]"
tt0006488	8	nm0354988	actor	\N	"[""Tim Baker""]"
tt0006510	4	nm0122581	actress	\N	"[""Clayton child""]"
tt0006510	8	nm0122896	actress	\N	"[""Clayton child""]"
tt0007013	4	nm0235318	director	\N	\N
tt0007061	4	nm0134251	actor	\N	"[""Doctor Horatio Bell""]"
tt0007061	6	nm0156318	writer	"story ""Bugs"""	\N
tt0007061	9	nm0089524	actor	\N	"[""Jud""]"
tt0007067	4	nm3699595	actor	\N	\N
tt0007108	9	nm2545354	actor	\N	"[""Japanese Accomplice""]"
tt0007548	1	nm1905206	actor	\N	\N
tt0007548	4	nm0456250	actor	\N	\N
tt0007548	5	nm0773303	director	\N	\N
tt0007548	9	nm2573728	actress	\N	\N
tt0007628	10	nm0455674	actress	\N	\N
tt0007628	1	nm0534368	actress	\N	"[""Alma""]"
tt0007628	5	nm0163540	director	\N	\N
tt0007628	6	nm0367396	writer	story	\N
tt0007628	8	nm0533096	actor	\N	"[""Anatole Peach""]"
tt0007628	9	nm0444722	actress	\N	\N
tt0007654	4	nm0116569	actress	\N	"[""Nell""]"
tt0007654	9	nm0512153	actress	\N	"[""Mrs. chaffin""]"
tt0007700	4	nm0624735	actor	\N	"[""Henry Sherwin""]"
tt0007735	1	nm0829795	actor	\N	"[""Cal Nelson""]"
tt0007735	8	nm0511066	actor	\N	"[""Hotel Proprietor""]"
tt0007823	4	nm0426668	actor	\N	"[""Robert Amory""]"
tt0007838	4	nm0926921	actor	\N	"[""Ivan Barosky""]"
tt0007838	6	nm0232715	writer	play	\N
tt0007838	7	nm0255090	writer	play	\N
tt0008169	10	nm0781254	actress	\N	"[""Miss Pringle""]"
tt0008169	3	nm0870522	actress	\N	"[""Miss Eunice Wickham""]"
tt0008169	4	nm0426668	actor	\N	"[""Edward Marsh""]"
tt0008169	9	nm0017488	actress	\N	"[""Gertie Marsh""]"
tt0008383	10	nm0242349	actor	\N	"[""Attorney for the Defense""]"
tt0008383	1	nm0145359	actress	\N	"[""Mrs. Robert Strickland""]"
tt0008383	2	nm0014742	actor	\N	"[""Robert Strickland""]"
tt0008383	3	nm0563991	actress	\N	"[""Doris Strickland""]"
tt0008383	4	nm0949648	actor	\N	"[""Gerald Trask""]"
tt0008383	6	nm0882735	actress	\N	"[""Mrs. Gerald Trask""]"
tt0008709	7	nm0036476	actress	\N	\N
tt0008709	8	nm0945394	actress	\N	\N
tt0008762	1	nm0248754	actor	\N	"[""Eric Mann""]"
tt0008762	4	nm0576073	actor	\N	"[""Jimmy Hope""]"
tt0008803	2	nm0167461	actor	\N	"[""Taffer""]"
tt0008803	6	nm0620586	producer	producer	\N
tt0008841	10	nm0546706	actor	\N	"[""Medina hercege""]"
tt0008841	1	nm0351330	actress	\N	"[""Juliette""]"
tt0008841	2	nm0466403	actor	\N	"[""Giovanni,festõ""]"
tt0008841	3	nm0902450	actress	\N	"[""Camilla""]"
tt0008841	4	nm0676258	actress	\N	"[""Marianne,Juliette és Giovanni lánya""]"
tt0008841	8	nm0246262	actor	\N	"[""Beppo""]"
tt0008874	1	nm0000779	actor	\N	"[""Bellboy, barber""]"
tt0008874	4	nm0482115	actress	\N	"[""Cutie Cuticle, manicurist""]"
tt0008876	10	nm0242243	actor	\N	"[""George Norris""]"
tt0008876	3	nm0078543	actress	\N	"[""Mrs. Briggs""]"
tt0008876	4	nm0337556	actress	\N	"[""Corinne Norris""]"
tt0008876	9	nm0652431	cinematographer	\N	\N
tt0008975	10	nm0709466	actor	\N	\N
tt0008975	1	nm0000779	actor	\N	"[""Chef""]"
tt0008975	4	nm0482115	actress	\N	"[""Waitress"",""Cashier""]"
tt0008975	8	nm1832937	actor	\N	"[""Dog""]"
tt0009170	10	nm4361025	actress	\N	\N
tt0009170	9	nm4360921	actress	\N	\N
tt0009185	2	nm0337556	actress	\N	"[""Princess Diana of Terresta""]"
tt0009185	3	nm0504476	actress	\N	"[""Princess Diana's aunt""]"
tt0009185	4	nm0393161	actor	\N	"[""Victor Borden""]"
tt0009185	6	nm0608552	cinematographer	\N	\N
tt0009185	7	nm0846831	cinematographer	\N	\N
tt0009185	9	nm0425569	actress	\N	"[""Lisette""]"
tt0009339	1	nm0717468	actor	\N	"[""Harry Webb""]"
tt0009339	4	nm0548987	actor	\N	"[""Joe Budlong""]"
tt0009339	7	nm0929191	writer	"play ""Broken Threads"""	\N
tt0009339	9	nm0551222	actor	\N	"[""Frank Beekman""]"
tt0009733	6	nm0121291	writer	"novel ""The White Cat"""	\N
tt0009803	4	nm5030055	actor	\N	"[""Charlie the Elephant""]"
tt0010126	6	nm0114607	writer	story	\N
tt0010419	1	nm0267912	actor	\N	"[""George Arnold""]"
tt0010419	2	nm0522593	actress	\N	"[""Helen Garfield""]"
tt0010419	6	nm0289301	producer	producer	\N
tt0010419	7	nm0288119	cinematographer	\N	\N
tt0010536	1	nm0034454	actor	\N	\N
tt0010536	3	nm0059576	actress	\N	\N
tt0010536	6	nm0952499	director	\N	\N
