tconst	averageRating	numVotes
tt0052117	6.0	974
tt0052150	5.4	44
tt0052253	4.8	31
tt0052264	6.3	128
tt0052634	6.9	531
tt0052817	6.7	226
tt0052819	6.2	86
tt0052852	7.8	810
tt0052966	7.0	103
tt0053143	7.3	10786
tt0053154	6.9	37
tt0053163	5.7	71
tt0053324	5.6	5
tt0053530	6.1	17
tt0053733	4.3	9
tt0053978	5.1	39
tt0054020	4.4	1446
tt0054033	6.3	14163
tt0054091	6.9	571
tt0054202	6.6	85
tt0054242	7.4	552
tt0054377	7.4	2290
tt0054442	7.3	950
tt0054486	6.8	43
tt0054577	8.2	45
tt0054626	5.8	64
tt0054780	7.7	299
tt0054879	6.6	227
tt0054950	4.3	597
tt0054980	8.8	14
tt0055070	6.5	101
tt0055608	6.1	4938
tt0055631	6.3	34
tt0055639	6.0	8
tt0055646	7.9	338
tt0055815	5.9	13
tt0055895	7.9	10120
tt0055896	5.1	75
tt0055972	7.3	3414
tt0056124	5.5	149
tt0056193	7.6	79890
tt0056227	6.9	173
tt0056234	6.7	1742
tt0056532	8.8	20
tt0056598	3.8	19
tt0056916	5.4	59
tt0057112	6.8	128
tt0057119	5.5	78
tt0057136	6.5	65
tt0057274	7.2	272
tt0057289	6.5	62
tt0057295	6.6	2153
tt0057313	8.6	13
tt0057723	8.4	157
tt0057922	5.2	8
tt0057971	7.4	69
tt0058008	6.1	15
tt0058230	6.5	4286
tt0058402	4.8	190
tt0058435	7.1	40
tt0058455	5.0	74
tt0058534	6.0	2246
tt0058538	4.7	26
tt0058757	7.4	9
tt0058786	5.7	9
tt0058869	7.2	160
tt0058890	6.8	44
tt0058907	8.0	34
tt0058995	3.9	12
tt0059065	6.1	1788
tt0059205	5.0	1489
tt0059467	4.7	6
tt0059703	7.5	14
tt0059808	7.2	23
tt0059878	3.3	1750
tt0060067	6.0	337
tt0060176	7.6	48963
tt0060293	7.0	68
tt0060331	8.0	11
tt0060473	6.9	82
tt0060935	3.6	7
tt0061024	6.0	1313
tt0061073	7.8	894
tt0061170	6.7	3355
tt0061386	6.9	85
tt0061405	6.1	4055
tt0061483	6.8	268
tt0061586	6.2	58
tt0061589	8.0	7279
tt0062020	5.7	43
tt0062024	5.6	105
